epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2051.51,1.41327,1.08391,1.57203,0.87158,0.81508,0.87371,0.48691,1.5588,0.9514,1.73927,0.00098525,0.00098525,0.00098525
43,2099.94,1.38258,1.04588,1.54811,0.86808,0.82159,0.89092,0.50644,1.5335,0.91394,1.71222,0.0009605,0.0009605,0.0009605
44,2148.37,1.38508,1.04818,1.54914,0.88224,0.81861,0.88664,0.50376,1.54885,0.90567,1.74424,0.00093575,0.00093575,0.00093575
45,2196.69,1.39253,1.06929,1.55896,0.88615,0.79505,0.88411,0.4983,1.5552,0.90579,1.75033,0.000911,0.000911,0.000911
46,2245.04,1.38261,1.03837,1.54051,0.87743,0.81786,0.89378,0.503,1.52907,0.91553,1.70258,0.00088625,0.00088625,0.00088625
47,2293.19,1.37075,1.03301,1.5404,0.9011,0.79976,0.89392,0.51317,1.53162,0.86785,1.73262,0.0008615,0.0008615,0.0008615
48,2341.57,1.35085,0.99483,1.5208,0.87878,0.83274,0.89764,0.51118,1.51654,0.87724,1.69351,0.00083675,0.00083675,0.00083675
49,2391.37,1.35445,1.01285,1.53706,0.86556,0.8569,0.89326,0.50402,1.52585,0.88028,1.71405,0.000812,0.000812,0.000812
50,2440.53,1.32859,0.99068,1.4954,0.88714,0.84217,0.9074,0.51442,1.51133,0.85518,1.70314,0.00078725,0.00078725,0.00078725
51,2489.44,1.33553,0.97214,1.51822,0.90829,0.80491,0.89429,0.51457,1.53526,0.88368,1.72231,0.0007625,0.0007625,0.0007625
52,2538.29,1.32639,0.9797,1.50134,0.90231,0.8377,0.9144,0.5228,1.49838,0.85957,1.67654,0.00073775,0.00073775,0.00073775
53,2587.2,1.30973,0.95416,1.47743,0.87259,0.86317,0.91425,0.52291,1.51928,0.82372,1.70774,0.000713,0.000713,0.000713
54,2636.1,1.29694,0.92122,1.47173,0.87337,0.84489,0.9088,0.52797,1.50559,0.82498,1.68494,0.00068825,0.00068825,0.00068825
55,2685.04,1.28492,0.95126,1.46762,0.89105,0.83806,0.91423,0.53019,1.48783,0.82435,1.68104,0.0006635,0.0006635,0.0006635
56,2734.11,1.30314,0.93522,1.48241,0.89402,0.85449,0.91418,0.52957,1.50363,0.81644,1.69176,0.00063875,0.00063875,0.00063875
57,2782.98,1.2822,0.92698,1.46395,0.88968,0.84688,0.91203,0.53134,1.50329,0.80628,1.68956,0.000614,0.000614,0.000614
58,2831.79,1.29025,0.91966,1.4744,0.90506,0.85748,0.91524,0.52647,1.50992,0.8067,1.68276,0.00058925,0.00058925,0.00058925
59,2880.75,1.27477,0.91105,1.45622,0.90219,0.8583,0.91187,0.53272,1.49421,0.80037,1.68593,0.0005645,0.0005645,0.0005645
60,2929.54,1.27495,0.9031,1.45921,0.9006,0.86442,0.92706,0.53886,1.48023,0.78843,1.67518,0.00053975,0.00053975,0.00053975
61,2978.59,1.24197,0.89367,1.43302,0.91891,0.84806,0.9223,0.53999,1.48339,0.78398,1.65717,0.000515,0.000515,0.000515
62,3027.33,1.25358,0.87692,1.43628,0.91613,0.84913,0.9134,0.53986,1.4791,0.78078,1.66994,0.00049025,0.00049025,0.00049025
63,3076.16,1.2316,0.85753,1.42635,0.9175,0.85142,0.92202,0.54066,1.49135,0.77396,1.67521,0.0004655,0.0004655,0.0004655
64,3124.98,1.22277,0.85493,1.42426,0.91187,0.88339,0.92842,0.53708,1.48914,0.76806,1.67946,0.00044075,0.00044075,0.00044075
65,3173.71,1.225,0.86619,1.42543,0.92114,0.85295,0.92061,0.5413,1.49373,0.75588,1.6853,0.000416,0.000416,0.000416
